0 -> U0,0 -> U3
0.0003752362353057713,1.3134481774576057e-05
0.0003505583442085255,1.7376460668901918e-05
0.000253658561261099,1.8245816629910042e-05
0.0003335115011003627,1.1189401191133013e-05
0.0003895764270738313,1.4646111076815165e-05
0.000386208714137459,1.6068776149262132e-05
0.0005110100208922283,8.235634116881444e-06
0.0003655852487101508,8.4077854091002e-06
0.0002446628304487823,1.0744854723354845e-05
0.00036438468126534724,7.795763524004838e-06
0.0005148214797689448,8.040086660914999e-06
